Type,ID,Title/Message,State,Author,Created At,Closed/Merged At,Labels/Files Changed,Commits,Additions,Deletions,Changed Files,All Checks Passed
Commit,2c9654008d460864573e1288abace32d42778d14,"Validate whole run in ""validate_random_run"".

There are some race conditions in Fishtest so this will trigger
some (event) log messages. This will help us fix the race
conditions.",,Michel Van den Bergh,2024-06-10 05:32:10,,server/fishtest/rundb.py,,,,,True
Commit,d3e4e0277e4855440b8b89105bd2914daba0e3e4,"Update comments about administrative flags.

Also: update schemas to more rigorously reflect this.",,Michel Van den Bergh,2024-06-10 05:27:31,,"server/fishtest/rundb.py,server/fishtest/schemas.py",,,,,True
Commit,002c05190e778c668a385eba8f39aae7ca2881d0,Fix for #2060.,,Michel Van den Bergh,2024-06-10 08:48:37,,server/fishtest/rundb.py,,,,,True
Commit,b262cbe8b3234dfca154d72d9e3c0c6bc3cdbf8d,"Retire self.update_itp_task.schedule_now().

update_itp() is a successor to code that also updated the
list of unfinished runs but the latter is now managed dynamically.

Itp values move slowly on the Fishtest time scale and there is
no need to micro-manage them.",,Michel Van den Bergh,2024-06-09 04:45:07,,"server/fishtest/rundb.py,server/fishtest/views.py",,,,,True
Commit,219f3ff58f5c22b81f48fc25019c0fdff9543caf,Maintain self.unfinished_runs dynamically.,,Michel Van den Bergh,2024-06-08 09:40:16,,"server/fishtest/rundb.py,server/fishtest/views.py",,,,,True
Commit,9e41e3d532ab59e8f282a4a9861da8e047cf9c73,"Update task_runs list via a scheduled task with period 1 min.

Now it is computed (and cached) at the beginning of request_task.
This could possibly lead to variation in the duration of
request_task.

Also: general cleanup of request_task.",,Michel Van den Bergh,2024-06-07 20:54:27,,"server/fishtest/rundb.py,server/fishtest/util.py,server/fishtest/views.py,server/tests/test_api.py",,,,,True
Commit,433e9aef61db2616dd0521a84bca029363b2085b,"Enhancement of validation.

Many data structure in Fishtest contain references to a run
objects. Naively validating such data structures means that we
are also validating the embedded run objects, which is wasteful
as these are already validated elsewhere.

The latest version of vtjson makes it possible to change
subschemas during validation.

In this PR we define the cache_schema as

cache_schema = {
    run_id: {
        ""run"": set_label(runs_schema, ""runs_schema""),
	""is_changed"": bool,
        ""last_sync_time"": ufloat,
        ""last_access_time"": ufloat,
    },
}

and we perform validation via

validate(cache_schema, self.run_cache, name=""run_cache"", subs={""runs_schema"": dict})

Requires upgrade of vtjson.",,Michel Van den Bergh,2024-06-07 12:29:57,,"server/fishtest/rundb.py,server/fishtest/schemas.py",,,,,True
Commit,582d4ef7248b7fd31d011f94c7fe5aae4a402b1f,"Dynamic duplicate workers detection.

This kills the last double loop in request_task().",,Michel Van den Bergh,2024-06-04 07:51:57,,server/fishtest/rundb.py,,,,,True
Commit,a6ca83c67e6022f7eaf09d21bb8092627f7381f8,Disallow changing ip address or username during task execution.,,Michel Van den Bergh,2024-06-05 18:32:52,,"server/fishtest/api.py,server/fishtest/rundb.py,server/tests/test_api.py",,,,,True
Commit,2e82cbaa80623ecca99208d82127358e89ecca50,Dynamic updates of connections (to respect connection limit).,,Michel Van den Bergh,2024-06-03 13:54:41,,"server/fishtest/rundb.py,server/tests/test_api.py,server/tests/test_rundb.py",,,,,True
Commit,fa3c001d56da26a2fc3adfb5be2d17982a3017b5,"Use string keys for the active_run_lock dict.

This eliminates a source of bugs.

Eventually we will make a schema for this data structure.",,Michel Van den Bergh,2024-06-04 07:55:03,,server/fishtest/rundb.py,,,,,True
